	mean0	std0	mean1	std1	mean2	std2	mean3	std3	mean4	std4
ACC_decoded_r0_RandomForestClassifier(max_depth=2)	0.7595938910386049	0.09646956052658144	0.7175281524386383	0.1107901915841054	0.6825589877803138	0.12245426074501081	0.6141518235122302	0.11663747370789898	0.7369320323626328	0.09852394679485521
BLCA_decoded_r0_RandomForestClassifier(max_depth=2)	0.7167405704900738	0.015461166645656275	0.7238158393481819	0.04138857872403905	0.7303570800920355	0.05386198296716522	0.682130911178791	0.04651700004226383	0.7285921063168693	0.050896967504819236
BRCA_decoded_r0_RandomForestClassifier(max_depth=2)	0.7590336445899114	0.019232356605600385	0.7529644289788876	0.023168006747893145	0.7628172668385033	0.033158783490211445	0.7604731708616782	0.02747081125106868	0.7657216247306914	0.005592298138593331
CESC_decoded_r0_RandomForestClassifier(max_depth=2)	0.8159725913332082	0.06803425263203353	0.8563159094560153	0.06587186124679524	0.8785831913501472	0.050969267233490455	0.8743872940771557	0.03031190938996274	0.8408823364849787	0.02589616855267884
COADREAD_decoded_r0_RandomForestClassifier(max_depth=2)	0.4836906153777455	0.03274117492583369	0.5106693578175949	0.03818146646544213	0.5113565042626441	0.02142574998459641	0.4798917033631787	0.01743150689481294	0.5097186455819122	0.028689495392089075
ESCC_decoded_r0_RandomForestClassifier(max_depth=2)	0.8255505428253179	0.07282378800785845	0.801434320433768	0.07102665744876145	0.7840697298409619	0.08302102862492378	0.8571374501683031	0.038707180347141365	0.824375586099724	0.05169355407958735
GEA_decoded_r0_RandomForestClassifier(max_depth=2)	0.4043853147106081	0.03961743810289402	0.39466717202470986	0.02578368509687807	0.39599023123483823	0.07970173676170923	0.36292892279688027	0.05575624818335868	0.3801877715204158	0.0695942206887658
HNSC_decoded_r0_RandomForestClassifier(max_depth=2)	0.7281194619164736	0.01870197269580817	0.7166840693346087	0.0468180059720982	0.70174930608182	0.042464376260512124	0.6676899595223744	0.08159609799127508	0.6904220797724975	0.05081304663750295
KIRCKICH_decoded_r0_RandomForestClassifier(max_depth=2)	0.9719943366611437	0.004417938098222601	0.9784324988845376	0.007878432083245158	0.9744095927638097	0.017006992409239797	0.9724983812386926	0.008995008373034897	0.9687827733297	0.011471480668995357
KIRP_decoded_r0_RandomForestClassifier(max_depth=2)	0.7393414642875497	0.04532295763167118	0.8192319831870916	0.04308060726191825	0.7713404306899643	0.07394949211295795	0.8064550979954724	0.0662821380195339	0.7740953767110649	0.10627617852044773
LIHCCHOL_decoded_r0_RandomForestClassifier(max_depth=2)	0.6538413238694287	0.08532735777491547	0.7113536212391809	0.06737968655548801	0.7534449961023387	0.072503919299882	0.7114993358398806	0.08122778619009552	0.6618754022683109	0.04371884608819579
LUAD_decoded_r0_RandomForestClassifier(max_depth=2)	0.6949645094596393	0.01712448995460121	0.6867964476074987	0.0385637259004274	0.6730529264165586	0.013046778976820475	0.7078570344497694	0.035545691361350294	0.7098111441217689	0.025601818449358743
LUSC_decoded_r0_RandomForestClassifier(max_depth=2)	0.5705487275178992	0.04596546376022747	0.6273502663394223	0.05580999673555999	0.6372477528774985	0.028976656666831167	0.5979011508887098	0.045189136912189225	0.6373979481045612	0.04068443337084396
MESO_decoded_r0_RandomForestClassifier(max_depth=2)	0.7132576978576979	0.12118833686779301	0.7880925698312695	0.07519329370087606	0.7024941724941725	0.12017074770534235	0.6963131168796803	0.09899479637375354	0.712719257419567	0.05309987391182083
OV_decoded_r0_RandomForestClassifier(max_depth=2)	0.7479579447308028	0.049845625642148214	0.7527478048106823	0.08577925593034598	0.770672960213061	0.0584630254469709	0.8002859511679327	0.02720553351587081	0.7662410260234034	0.02295089372275407
PAAD_decoded_r0_RandomForestClassifier(max_depth=2)	0.8741134567389948	0.06127823981650109	0.9118374272786037	0.05913922133297962	0.8807289713058677	0.029536156395988472	0.944449958643507	0.05309308740005051	0.953362610217449	0.06444500847617762
PCPG_decoded_r0_RandomForestClassifier(max_depth=2)	0.8119589715055071	0.07100932643301514	0.7763325381208892	0.04911314779436743	0.8299747916288316	0.04649525213596705	0.8518965398786269	0.10027117277902257	0.7958272691446359	0.03377605767442586
PRAD_decoded_r0_RandomForestClassifier(max_depth=2)	0.8051756411184351	0.07824282114011136	0.7933504099837616	0.027645391468035154	0.8021162610504697	0.04624726497610368	0.8080891560667752	0.0706118474755856	0.8279918160899823	0.03235923292898501
SARC_decoded_r0_RandomForestClassifier(max_depth=2)	0.8675029495380364	0.030694670381994926	0.8682760511779569	0.03589278033466465	0.8338479242883996	0.03330614930011164	0.877012153226253	0.04266327633834891	0.8522104522684805	0.02921705771123949
SKCM_decoded_r0_RandomForestClassifier(max_depth=2)	0.41338828636616526	0.050236543846553086	0.46562762790409884	0.04734464398810508	0.4474827256376752	0.04508376618794193	0.4542882928879049	0.017964164027531045	0.4223466132110653	0.0578545294845987
TGCT_decoded_r0_RandomForestClassifier(max_depth=2)	0.9546578712419861	0.01613155181629353	0.959088363083329	0.019107054382881506	0.9636032413480705	0.025937871883393783	0.977356129459513	0.022608321351836554	0.9727963976414904	0.010150303112863284
THCA_decoded_r0_RandomForestClassifier(max_depth=2)	0.7475912683900295	0.04755646996311173	0.7429869107771306	0.03213023544975132	0.7347277752864382	0.025450093052767703	0.7417845900995311	0.029705886953688344	0.7277278980262001	0.03368811013180027
THYM_decoded_r0_RandomForestClassifier(max_depth=2)	0.8309206241847023	0.06370702139078357	0.8335913483191506	0.04665847211429354	0.8374668414326187	0.07457697649611084	0.8492851565466436	0.05211924071524454	0.8715459711111886	0.06544236639165633
UCEC_decoded_r0_RandomForestClassifier(max_depth=2)	0.6088891153260516	0.030450163874506282	0.5651531795313742	0.024999203510878577	0.5812926685320061	0.02681718783020719	0.5684176802493871	0.05204463983508572	0.5805548468026769	0.03566344942908962
UVM_decoded_r0_RandomForestClassifier(max_depth=2)	0.8706000637821071	0.030167705236780182	0.8828063492063492	0.05909818784841717	0.8932379433432064	0.04606024052942668	0.8202809194933033	0.1385569196022631	0.8768494418550146	0.07716622156312962
