	mean0	std0	mean1	std1	mean2	std2	mean3	std3	mean4	std4
ACC_DecisionTreeClassifier()	0.6259669817362125	0.08243018793473537	0.5927617396848166	0.06554177495387041	0.5675803138948712	0.045644636058603874	0.5362050338998008	0.05920852719857895	0.6000534724877995	0.07098120264765151
BLCA_DecisionTreeClassifier()	0.7210540292734652	0.03938839620275815	0.6820286769049064	0.04849697968129109	0.6610308652016842	0.012895699926328582	0.6983499556828279	0.02074213771950958	0.7158219384657183	0.014473383799027883
BRCA_DecisionTreeClassifier()	0.8195801279004101	0.01645122400758316	0.823759146329024	0.027072990160130136	0.8353091716696587	0.03370176461274435	0.833668791888045	0.02507183390985221	0.8175982175101869	0.03316633269406417
CESC_DecisionTreeClassifier()	0.7918243476665929	0.04540169162376499	0.7576637692963564	0.07009293950514163	0.7632488228643006	0.043949095732583945	0.7465694101005848	0.06774127791654772	0.7336527316656495	0.039856412013754845
COADREAD_DecisionTreeClassifier()	0.5235392306027692	0.05376150995410271	0.48847046074160366	0.030928516748960518	0.5317042507398162	0.03595969633706726	0.4862543322391837	0.03691067736875896	0.5201288512584722	0.02877197573164736
ESCC_DecisionTreeClassifier()	0.7021943234278831	0.044860979813103954	0.7031698980117898	0.10469608171869951	0.6482692646546602	0.10513402856859637	0.7393578795018075	0.0786207706138444	0.6400307152078125	0.06306886328160285
GEA_DecisionTreeClassifier()	0.5254976965847193	0.06233554048512117	0.5152850851406711	0.03625461823984798	0.508059244637832	0.04374379663156079	0.5123408864430041	0.041174620321242035	0.4993795874285653	0.03502064771542652
HNSC_DecisionTreeClassifier()	0.5855722829818918	0.03279796971103698	0.6183273328093304	0.04672746414888483	0.6117579501259454	0.02949817542736415	0.5830192583822211	0.04817314895762634	0.6124846701273219	0.023860432907671703
KIRCKICH_DecisionTreeClassifier()	0.9576822046314251	0.015652933248808173	0.9472830705727221	0.019914885264698604	0.9725050386263748	0.003662795962581018	0.9457211248800176	0.01352111217653464	0.97804853474019	0.01273630635362064
KIRP_DecisionTreeClassifier()	0.667475454487311	0.08939579405947999	0.7180689872844526	0.07054604567793885	0.6925905985221834	0.07080576994148394	0.6498142431397637	0.08043727163501854	0.6769061330375875	0.11146192813781008
LIHCCHOL_DecisionTreeClassifier()	0.6500875617987633	0.043229663835535975	0.6341369959783639	0.048225240686780434	0.6687195828704643	0.0376216365752364	0.6479553260403885	0.044987162238748823	0.6645154754238702	0.058830134348897827
LUAD_DecisionTreeClassifier()	0.644520835357677	0.027573230010083247	0.6205479385102098	0.020077897723734174	0.6514762277795993	0.0200386870685092	0.676076921729216	0.04179664640826183	0.6489224704338563	0.04238850603672481
LUSC_DecisionTreeClassifier()	0.5846144954300988	0.061958807542028274	0.6002842961362795	0.03877834298154451	0.5990812896502207	0.02687226551255793	0.5915585135972276	0.06156108053077058	0.586996954815534	0.02637849517396312
MESO_DecisionTreeClassifier()	0.5337565592302433	0.1543887448827423	0.5011332549803138	0.11056152606956206	0.4617922656634731	0.08312986350669666	0.48520237540237543	0.1308071797368957	0.5241092711210358	0.07550918952054075
OV_DecisionTreeClassifier()	0.7294580343375682	0.04960482266061538	0.6855871558096772	0.028300977358515143	0.7180830099527289	0.0275096430006364	0.7069321029128899	0.04877848219221108	0.7170138117963071	0.04378119257226342
PAAD_DecisionTreeClassifier()	0.8063105082109607	0.04606954487157342	0.7803212380537963	0.0714192682772982	0.8156237045746453	0.06683177528045746	0.75215875518677	0.12261037436728026	0.8306340816905833	0.06623270036946464
PCPG_DecisionTreeClassifier()	0.7159114061121786	0.03685980201289682	0.6922696038026162	0.08830970299504731	0.7321110525254972	0.052796921533438734	0.7231104183650136	0.054049890093111105	0.7177552626032982	0.022891071495071014
PRAD_DecisionTreeClassifier()	0.7647989628574742	0.04610791846649091	0.7697806499645619	0.04626650461031003	0.7405618688477269	0.04835309561992747	0.7440144502419181	0.05718919514795545	0.7582751690496073	0.04287174326672221
SARC_DecisionTreeClassifier()	0.8817046213673925	0.039942809964829684	0.8524733147805568	0.045060305544322415	0.8812533905781622	0.017278502685173593	0.9036402985149607	0.01714159912016659	0.8413469217285507	0.06441845173519958
SKCM_DecisionTreeClassifier()	0.48120916679428105	0.016090929081480014	0.4476853083253245	0.057078793404057006	0.4701825578566621	0.04903667351193121	0.4605364959721182	0.033504994634865164	0.4478243980741258	0.0385970111546646
TGCT_DecisionTreeClassifier()	0.9590791687384553	0.019107612525398453	0.9273342749298523	0.06509055355298188	0.9545125978592115	0.0279078076733405	0.9636075212979552	0.012452727962099447	0.9544454027562115	0.01610463702483957
THCA_DecisionTreeClassifier()	0.6569612818712497	0.01578257583768056	0.6694936129554906	0.013721534342415548	0.6526255689827116	0.034379682550063725	0.6659322825226174	0.021826593359135532	0.6132264866582898	0.042540609317270106
THYM_DecisionTreeClassifier()	0.7786100929492213	0.05695591897456717	0.7258489677576787	0.12216544491770755	0.8126702918080747	0.053870236577642505	0.7727545914124861	0.026628786455043383	0.7407545503148047	0.04302892304519794
UCEC_DecisionTreeClassifier()	0.5297964821541808	0.03147345216881311	0.5175746829589422	0.02657635643071325	0.5374418892719643	0.027093805349587618	0.5780185676751786	0.0633981493509371	0.5346774822840316	0.04995302809727105
UVM_DecisionTreeClassifier()	0.7272323348149435	0.11694247052637163	0.6779460116354233	0.11646085414420078	0.7658551226551227	0.0626698761058073	0.7027488067488067	0.10540360025635687	0.7392509790862731	0.13950490843837218
