	mean0	std0	mean1	std1	mean2	std2	mean3	std3	mean4	std4
ACC_RandomForestClassifier(max_depth=2)	0.6588429046115247	0.11690020105390578	0.6283277180263079	0.06689013364892665	0.5364750322141627	0.1853875659264419	0.7423957154520332	0.06350629010665944	0.721789061114853	0.06964046004428923
BLCA_RandomForestClassifier(max_depth=2)	0.6324237883647326	0.05627834015302971	0.5928809083513992	0.027246351398180515	0.5908814662298979	0.0805791500872309	0.6534537623832252	0.014535769662646403	0.6055817559313229	0.031036323083928508
BRCA_RandomForestClassifier(max_depth=2)	0.6705345351320324	0.050932232982686926	0.6664549385725568	0.02195059170288572	0.7071883648248072	0.02827714509372779	0.6645269443178571	0.039308876046280534	0.6590026546628518	0.04216825745564005
CESC_RandomForestClassifier(max_depth=2)	0.8313575205731649	0.08361190795226447	0.795021352135881	0.06118362536480878	0.8719851356165176	0.04306068066297671	0.8215805505582454	0.06771685022442525	0.8194836457009909	0.026688802910513048
COADREAD_RandomForestClassifier(max_depth=2)	0.47011150148677094	0.058069447191302644	0.4084779092447841	0.04188688991377218	0.4980932236618733	0.048453767322790255	0.40330361086711536	0.03407360047578858	0.3881617725861315	0.035819006821031826
ESCC_RandomForestClassifier(max_depth=2)	0.8216638862192401	0.0428482970613071	0.8130344189883778	0.08540889158267215	0.8093288037829982	0.04569607684642356	0.8588851598861207	0.08104509429191623	0.82028259391962	0.03945599484378772
GEA_RandomForestClassifier(max_depth=2)	0.28479980964506985	0.057619582079121684	0.31509249636430364	0.06900573465022376	0.3137091629166834	0.016594404700950173	0.27874275864139936	0.04537234240316961	0.3472921244152661	0.06536791736907709
HNSC_RandomForestClassifier(max_depth=2)	0.632707570982798	0.052609987686461024	0.6123662891667773	0.07497012871848846	0.6219273172050939	0.05640977734667882	0.6455327438725874	0.0663582410782013	0.604993807471724	0.05271874432168639
KIRCKICH_RandomForestClassifier(max_depth=2)	0.9750306351664516	0.0104283691190947	0.9721634606821952	0.009314699530491412	0.9739274104022367	0.008697820945177586	0.9656221695913979	0.012194245640838692	0.9827082028117254	0.007017183755843286
KIRP_RandomForestClassifier(max_depth=2)	0.7205187659189061	0.161826268166629	0.6997092201340178	0.07862579721016558	0.6837715720182496	0.06364027411231606	0.6571106584744999	0.0780724088087358	0.6487834704793274	0.11561836756346629
LIHCCHOL_RandomForestClassifier(max_depth=2)	0.719916484785127	0.048174208051682016	0.5950047870123014	0.10847152614374186	0.708528772581541	0.09735714744706135	0.6203875061239266	0.07392130457807225	0.6999149845838918	0.11444986207493621
LUAD_RandomForestClassifier(max_depth=2)	0.699175391260364	0.013783259421619367	0.6511834527872631	0.025256348824203502	0.6724122993853119	0.014094826052935263	0.6950838552356188	0.04217298801486285	0.6692230198280084	0.055565915903642654
LUSC_RandomForestClassifier(max_depth=2)	0.5346024679958411	0.03584319128599727	0.5604967062933904	0.06325711266705837	0.5335276026487488	0.024772495200429248	0.5590605150416013	0.03623604226034173	0.5306347309992329	0.03269430970554946
MESO_RandomForestClassifier(max_depth=2)	0.7610616520734168	0.04999772676387419	0.7497022128198598	0.07551500654983856	0.6032993042045673	0.1956749747252679	0.6716156353450471	0.08123616939533602	0.6021866081630787	0.062065237178286076
OV_RandomForestClassifier(max_depth=2)	0.7433515353736577	0.012706489181388631	0.7714560833234633	0.0515124434589863	0.7999601238678664	0.043164363251227494	0.7665454871662606	0.06980014831887975	0.7089104364784669	0.12321455050099636
PAAD_RandomForestClassifier(max_depth=2)	0.8812747176305282	0.08192973128613952	0.911971406649403	0.07313635629263779	0.8501606580553949	0.11822402408383872	0.8586479736258075	0.08979367331569901	0.7976183061203305	0.1353489769266978
PCPG_RandomForestClassifier(max_depth=2)	0.7424990086247578	0.06907782276100317	0.6980533452799543	0.03324769178491777	0.701760532141125	0.0771507051454341	0.7164893865181265	0.11451155045399422	0.7640602549635462	0.07171002280721289
PRAD_RandomForestClassifier(max_depth=2)	0.7826742717846367	0.052884718266227794	0.7583718682231433	0.07613283697958921	0.7683865733267267	0.0582947511212606	0.7665281929740921	0.060188885059661044	0.8117779280347374	0.03923394228801521
SARC_RandomForestClassifier(max_depth=2)	0.8688001105161798	0.03202023664352643	0.8901045377722767	0.038187758836552524	0.9111690240087249	0.018910087230871838	0.8608199073461585	0.05542093991340628	0.8766506399898277	0.046416196614110304
SKCM_RandomForestClassifier(max_depth=2)	0.41248175459827174	0.05238772152978882	0.4088730693611061	0.034129629020606345	0.3511971551475714	0.06825224069162822	0.3697712489384548	0.03280666340420239	0.4057621557085982	0.022323149509958617
