	mean0	std0	mean1	std1	mean2	std2	mean3	std3	mean4	std4
ACC_RandomForestClassifier(max_depth=2)	0.7090267005930556	0.08377025734429228	0.6664182471953474	0.1487460348786473	0.6954194176611004	0.08244109598305212	0.7064663733239585	0.08533741655893574	0.7342769999313252	0.04700919451634694
BLCA_RandomForestClassifier(max_depth=2)	0.6172135998813292	0.09206185799440691	0.6396808050089376	0.039457939418601554	0.6133100133471531	0.039565737604367456	0.5820589955762147	0.021028923625770725	0.6096141579806541	0.09654910289034577
BRCA_RandomForestClassifier(max_depth=2)	0.6970451934346529	0.0212086555742295	0.7102997398178872	0.04257336025178983	0.7047117671035378	0.035591206393965444	0.6880824409663624	0.03657312965519259	0.7078124192958231	0.04722707184770839
CESC_RandomForestClassifier(max_depth=2)	0.8892433576998621	0.044048547726450345	0.8154932851607529	0.059163579943883264	0.7907984393409904	0.04165775231357713	0.8474694198870069	0.08202537285540856	0.883369115130796	0.06527739401461423
COADREAD_RandomForestClassifier(max_depth=2)	0.4659421844373524	0.03469127053623545	0.46551538835959944	0.04856364607676194	0.47336014648357155	0.043975565288450626	0.42521710656803585	0.07119619349245936	0.43377461044545185	0.0657537310265674
ESCC_RandomForestClassifier(max_depth=2)	0.8643042851044114	0.08736752933776776	0.8153076338863445	0.06457365255419242	0.7875056050388972	0.07529293835868421	0.8798433235141198	0.021307456744318127	0.8509160702041006	0.0648175478676412
GEA_RandomForestClassifier(max_depth=2)	0.2929477379768511	0.03818740178331632	0.3224776913455766	0.04222310306426188	0.32735912257283656	0.06868447741898706	0.31102952659738986	0.025455709307992177	0.31349028583197325	0.055604719762521126
HNSC_RandomForestClassifier(max_depth=2)	0.5834360285936565	0.06709174613286291	0.6534759441606222	0.05027385944152603	0.6328608098970454	0.05108728124571364	0.5963726282115329	0.06763373453605637	0.5617530404997676	0.0796352014767016
KIRCKICH_RandomForestClassifier(max_depth=2)	0.9734722452804779	0.012376685655125494	0.969479778135955	0.009357975195218743	0.9772815391156261	0.008840940236770631	0.9784731456120196	0.0053475192882482805	0.9773090417901377	0.008797856517479717
KIRP_RandomForestClassifier(max_depth=2)	0.6975652117778407	0.06764580051656807	0.6482211505123404	0.11785128896514854	0.6809637579542128	0.07327023605517545	0.7625883606572705	0.09176408000652952	0.7076246169864591	0.0871170969124178
LIHCCHOL_RandomForestClassifier(max_depth=2)	0.6958813071634071	0.09761056832204562	0.7329940471880398	0.09645642446200833	0.7693731333013908	0.026034472330865095	0.6964945202510402	0.051235798009875176	0.6398569451558139	0.07729750208298176
LUAD_RandomForestClassifier(max_depth=2)	0.6813807462258095	0.0534449570987878	0.6720809790053867	0.04448579297881123	0.6774553611773046	0.05637929450240176	0.6749652110461462	0.041879153536465805	0.6929253049032909	0.029167594747510014
LUSC_RandomForestClassifier(max_depth=2)	0.5334606169751448	0.0605598643733387	0.5516174791503504	0.04141926131182192	0.5433990629682514	0.016195534911396674	0.4992084584418674	0.02135054060793372	0.5629106543253547	0.04882778056952963
MESO_RandomForestClassifier(max_depth=2)	0.6613786918963389	0.12480268304393338	0.5719847384126022	0.17645857742117319	0.5890655566655566	0.1304186026950062	0.6807504051504051	0.14816152368242874	0.6909376784893813	0.16001385867590368
OV_RandomForestClassifier(max_depth=2)	0.7069690948313611	0.06914992358379995	0.7902204090885167	0.08447799663169422	0.7825051985878287	0.10448987671603857	0.7355357761039808	0.04580545021771157	0.7701622064692584	0.05354113450085203
PAAD_RandomForestClassifier(max_depth=2)	0.8339663638734847	0.061025133733515986	0.9113143024526135	0.04405158994228627	0.866850207624146	0.06356085448158187	0.8893571511444814	0.04929130052220758	0.8677712993502467	0.06400649823198264
PCPG_RandomForestClassifier(max_depth=2)	0.7505627152910456	0.11018282209163593	0.7354312945701946	0.06895704662264286	0.7754734801457228	0.04624822775457406	0.7297284316238131	0.07512210424925558	0.7529659575966924	0.10792885557002257
PRAD_RandomForestClassifier(max_depth=2)	0.7595824195400732	0.07111113090963918	0.8118196901296578	0.06274081395053313	0.7912197178466603	0.04264233037552917	0.7717082383769276	0.07105061754131296	0.7654951419993554	0.055271110054691715
SARC_RandomForestClassifier(max_depth=2)	0.9138975173551298	0.04029980983157111	0.9110396300025067	0.02705892369939124	0.9235113633661125	0.02329400113102094	0.9131353738007789	0.007868785957316956	0.8835203847232501	0.03562434890702212
SKCM_RandomForestClassifier(max_depth=2)	0.409686332489649	0.03888190164750026	0.39515057625014	0.03498796521801856	0.4154540305168832	0.048906609878926276	0.40306854105329415	0.052247041337536326	0.37376016177193955	0.020933639150033042
TGCT_RandomForestClassifier(max_depth=2)	0.9681511035548303	0.020337070038229144	0.9636749581463541	0.02030682024988819	0.9727790147010319	0.019030651251740343	0.9682655361260484	0.012438415041324835	0.963844471170014	0.012315833968965892
THCA_RandomForestClassifier(max_depth=2)	0.6634486527097629	0.020593600689906073	0.6726205764528315	0.05399233994376201	0.6767174535120373	0.06101063275428753	0.6514520823193651	0.09134456472919472	0.6562315776246852	0.04549455007392261
THYM_RandomForestClassifier(max_depth=2)	0.8764598294614138	0.035569505203996606	0.8760565911807305	0.04964511487753499	0.8823224555719484	0.01611082848206409	0.8962728139182574	0.043736107415817876	0.8943292998726589	0.05183241504028757
