	mean0	std0	mean1	std1	mean2	std2	mean3	std3	mean4	std4
ACC_RandomForestClassifier(max_depth=2)	0.6254380002805789	0.03656305285147747	0.6601609534256593	0.10523307132822515	0.655985680985681	0.09528712521235287	0.6436832494186315	0.134616541308304	0.7184371406925627	0.03186670506633716
BLCA_RandomForestClassifier(max_depth=2)	0.6137657254044178	0.06136830093192945	0.6209800829278478	0.041617015302825536	0.6342293058199424	0.024299934620606607	0.5872465803668452	0.06822445380635843	0.5996750203274083	0.06288855610953667
BRCA_RandomForestClassifier(max_depth=2)	0.7599242454469743	0.01197728335848675	0.7433069361061245	0.012829495290998576	0.765553480709758	0.024804853607805766	0.7485032176234566	0.028945300216926744	0.7419051320652328	0.04532414115146253
CESC_RandomForestClassifier(max_depth=2)	0.8155488020871808	0.06938667062450195	0.8606875212155816	0.07076758365443746	0.8324414098145551	0.0644497705604183	0.8482537985410477	0.05791473457349392	0.8552754703238916	0.04924672652820867
COADREAD_RandomForestClassifier(max_depth=2)	0.4951674269215666	0.06042000246463835	0.5173553058491408	0.05075348504548635	0.5058139592278469	0.048909910307214824	0.42127172165776444	0.0681716624502311	0.4293021018304892	0.06961861906632061
ESCC_RandomForestClassifier(max_depth=2)	0.8110809595025187	0.07036529489729351	0.8574406002025281	0.10070436334986328	0.7867074539042085	0.04566664454487295	0.7672993759294326	0.039643961440356076	0.8615763888958871	0.060375009764349216
GEA_RandomForestClassifier(max_depth=2)	0.3413408770572977	0.03618689663160613	0.32047316257041275	0.024856059676098326	0.37780681907896935	0.05319361070005209	0.3281439281061151	0.036138567611831394	0.33820686346445655	0.02158608997492155
HNSC_RandomForestClassifier(max_depth=2)	0.642231655754321	0.05090280055545479	0.6334144972848871	0.10412188598615625	0.6503014785251714	0.056330929973467066	0.664142804897436	0.021956959832685412	0.6366223663780559	0.05345150893273941
KIRCKICH_RandomForestClassifier(max_depth=2)	0.9763833348747597	0.007998301909900623	0.9726561188772452	0.010335331995976225	0.9761276158858974	0.004916676483866248	0.9728273384757451	0.011227503144907591	0.9753281720373587	0.007293789190621131
KIRP_RandomForestClassifier(max_depth=2)	0.6634440159199774	0.08459642077410891	0.6179671884701264	0.09394023115205126	0.7013095955473707	0.09571168055291827	0.6943686989775364	0.08728833196364627	0.6403610839212858	0.06551635019726543
LIHCCHOL_RandomForestClassifier(max_depth=2)	0.7057302002126774	0.05229656760050436	0.6826271028967396	0.03381739947742309	0.7193869674161298	0.03126642236484861	0.7443966020274366	0.04375386468362818	0.7243527895847807	0.0817279670458886
LUAD_RandomForestClassifier(max_depth=2)	0.6797993463324018	0.020476510191207803	0.6587434374176102	0.03995325060090689	0.6699803051469194	0.020418551471747214	0.6644345546005354	0.018710440818787748	0.6557883594993249	0.027899111111508647
LUSC_RandomForestClassifier(max_depth=2)	0.5131349737841258	0.05359877044056448	0.5114794445520626	0.0552084301644807	0.5467372942102093	0.02480189725483184	0.5117676912683256	0.03590371670359056	0.4970706486486982	0.03987993489760074
MESO_RandomForestClassifier(max_depth=2)	0.7799336569862885	0.06633447484998728	0.7234857665210606	0.040407842094855845	0.8047818625818626	0.13372696744449603	0.7447055532702591	0.12048889396309682	0.7207779206689424	0.0818167584433709
