	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
TCGA-3C-AAAU	1.2555786	1.0068772	1.0894299	0.49212682	0.25850713	1.9888222	0.87547433	1.3218802	0.0	1.8710985	1.4070907	0.5897467	0.0	1.393478	1.1145494	2.8146513	0.52143955	0.0	0.0	0.3854246	0.86100936	0.02346611	0.47007704	1.7747128	0.0	0.0	0.7084069	0.6260677	0.33397222	0.0	0.0	0.7181682	1.5509443	0.0	0.0	0.0	0.0	0.7823986	0.73525447	0.96532214	0.0	1.7632799	0.7978649	0.9488623	1.8721608	1.6514246	1.210119	0.0	0.0	0.45219445	1.9653327	0.0	0.40222847	0.86732006	1.5967139	0.8179879	1.2888148	1.4376541	1.0363064	0.8019372	0.032856375	0.38027966	1.0373101	0.4610783	0.588741	0.5955937	0.0	0.5864836	1.131051	1.1975242	0.7511861	0.0	2.6981344	0.7573187	0.48645008	1.1121367	0.37938046	0.20453358	1.01474	0.9272164	0.0	0.78556633	2.7886574	1.8115027	0.80858636	1.2364595	0.014095664	0.43445146	0.65819097	0.9925444	2.2559853	1.9149482	0.45582104	0.53256357	0.0	0.7115549	0.6712489	0.0	1.1902046	0.86394876
TCGA-3C-AALI	0.98905396	1.4687748	0.3896379	0.5745925	0.115669966	1.2027178	1.3547348	0.14498973	0.0	1.9624949	0.5937421	1.9002349	0.0	0.0	1.7866199	1.6171027	0.0	1.012038	0.264696	0.42667067	1.613947	2.0415657	1.2739395	0.5724368	0.0	0.9443353	0.65870535	1.363821	1.9885094	0.0	0.3780123	0.8856495	1.9758594	0.0	0.50741494	0.0	0.0	0.0	1.1271266	1.4235642	2.0369573	1.3775489	0.5409477	0.34955788	1.5264523	1.8541665	0.7062924	0.0	0.0	0.73073006	0.0	1.1235304	2.1888742	2.9881732	0.9101341	0.0	0.97477865	0.38517058	0.85890645	0.0	0.90559983	0.0	0.17982137	0.7335767	1.387321	1.2316128	0.0	0.80100954	0.0	0.9454559	0.95477635	0.21958351	2.6871812	0.14635777	0.17112696	1.7433046	1.0294766	1.3976971	1.2370307	1.8047179	0.0	0.094753504	0.04505098	1.1639504	0.4693215	0.0	0.0	1.7159718	1.3546801	1.3712966	1.3684276	1.9499472	1.309618	1.4572675	0.6072601	0.0	0.07533479	0.520643	0.6116631	0.4452275
TCGA-3C-AALJ	0.0	1.3688525	0.28214315	0.4628446	0.69508755	1.7508097	1.4598775	0.8189491	0.6327209	1.8572029	0.32852167	1.2769208	0.0	0.16714191	0.7757218	1.6646496	0.0	0.84847546	0.8222542	1.4352876	1.2570877	0.7917392	0.40009117	0.5840435	0.116229	1.5344343	1.1223972	1.8964539	1.3594863	1.1666663	0.91186273	0.33121186	0.9613887	0.0	0.31101918	1.1672752	0.10467986	0.0	0.24741584	1.1149001	0.90671164	2.0973294	0.2684605	0.0	1.1014361	1.829988	1.7738137	0.55733943	0.0	0.33529115	0.52422625	1.6701598	0.8387331	1.099413	0.87765306	0.0	1.204573	0.99389565	0.54830825	0.0	0.41530302	0.27931666	1.2117683	1.8978267	0.25931728	0.33088362	0.0	0.57594657	0.63180035	1.5267253	0.523271	0.07917428	2.272413	0.8003894	0.7797015	1.7570277	0.5620565	1.2450296	0.48647845	1.3412038	0.42993444	0.84059	1.317457	1.1747522	1.1079519	0.9788777	0.66671574	1.1424057	1.6040865	0.50958097	0.54871476	2.8581614	2.1096454	1.3278749	0.0	0.0	0.40746808	0.77460885	0.0	0.19261122
TCGA-3C-AALK	0.0	0.19116294	0.7549917	0.8727278	0.5727892	0.60080796	1.7148814	0.84159553	0.39281452	1.8135962	0.48772866	0.94810236	0.07883453	0.782791	0.26509762	1.6614649	0.32634902	0.9781847	0.0	1.8187215	1.8855221	0.84396076	1.3469146	0.62978554	0.0	0.29634356	0.9088783	1.3250299	0.6889136	0.0	0.21540087	0.16098249	0.54362625	0.8249352	0.0	0.0	0.0	0.5738938	0.46030116	0.7236568	0.355223	1.4081005	1.4941257	0.0	1.297864	0.94778293	0.7012433	0.22235322	0.0	1.09375	0.6210527	0.97778034	1.8051691	2.3853078	1.6019586	0.0	0.7441997	0.751112	1.0862608	0.3930539	0.0	0.043668985	1.1512873	0.2044493	0.8763782	0.95703787	0.0	0.97516274	0.0	1.3292125	0.0	0.13583565	1.5387363	0.7583498	0.0	0.9848008	0.4672448	1.3746995	0.7072304	1.2355782	0.0	0.8434255	0.66867006	1.1228039	1.4156088	0.31404233	0.35186172	2.0849257	0.9153514	0.7125567	1.1411402	0.7763227	1.6490461	0.47402853	0.0	0.110645294	0.7155101	0.2143588	0.17618835	0.0
TCGA-4H-AAAK	0.12942559	0.0	0.19737504	1.2118354	0.9692701	0.8959773	1.3470039	0.27122474	0.17110914	2.0382	1.2975248	0.49622622	0.7978074	0.91097844	1.4385767	1.4226167	0.18753839	0.7486657	0.6537722	1.8579345	1.4768752	0.98516655	0.85932285	0.8473773	0.852801	0.036907673	0.7294411	1.6292691	0.0	0.0	0.25080603	0.08905923	0.31088233	0.8667079	0.0	0.007944226	0.078369275	0.9295489	0.0	0.96808577	0.22355527	1.3741932	2.0159743	0.18868399	1.48698	0.97874	1.0643811	0.72040653	0.0	0.65958667	0.3217219	0.88930887	1.0394434	1.1094354	2.2411828	0.0	0.7486015	1.3351549	0.4094714	0.7781934	0.025990665	0.0	1.174541	0.0	0.2655418	0.7006035	0.0	1.2006576	0.06053847	0.8903347	0.21545136	0.0	1.8348228	0.32431996	0.0	1.0765768	0.07685363	1.5201643	0.055324502	1.0018212	0.0	1.0089417	0.27100176	1.2188866	1.4187895	0.8480985	0.7178798	1.6415683	1.5247232	0.9847231	1.5376403	0.8651626	0.4641888	0.0	0.0	0.2694357	0.6110109	0.58516955	0.70497686	0.5870334
TCGA-5L-AAT0	0.22274384	0.07899737	0.2713773	0.8663943	0.98464715	1.0369396	1.6348742	0.6961013	0.8495175	2.0341263	0.43966395	0.5296138	0.5613534	0.9056853	0.15179038	1.1296719	0.014341116	1.0535312	0.0	1.7056887	1.7828584	0.6631541	1.1752077	0.497746	0.2539053	0.0	1.1380689	0.8024905	0.0	0.0	0.4427495	0.035544038	0.42800415	0.78693676	0.0	0.28919035	0.023233503	1.1003914	0.35893732	0.28231096	0.44124573	1.2207102	2.0342844	0.73461044	1.0647238	0.70243526	1.5118595	1.0327349	0.303622	0.9891403	0.70348465	0.89635617	0.6334284	1.646317	2.177498	0.0	0.95517284	1.2458618	0.6041483	0.9837478	0.0	0.574864	1.5870794	0.45044005	0.80805874	0.43961918	0.0	1.2234262	0.21350151	0.8177855	0.4371267	0.36713433	1.8877568	0.5206567	0.0	1.2408379	0.10924184	1.4289263	1.0126128	1.0000788	0.1752269	1.2778602	0.6159043	1.0443237	1.2264774	0.36983883	0.4358915	1.2014928	1.0399886	1.1737974	1.5399265	0.81504154	0.8040531	0.05879742	0.0	0.3887946	0.44067645	0.4660294	0.9068358	0.0
TCGA-5T-A9QA	1.548841	0.0	0.31328186	1.248451	0.0	2.2934372	1.3493341	1.017773	1.8002031	1.66232	0.7309582	0.84877443	0.5813555	0.0	0.4421152	0.65449727	0.0	1.1443944	1.0180482	1.1822097	0.83896613	2.0955324	1.1657043	1.4442828	0.29237026	0.0	1.1114805	0.8817712	2.4103606	0.0	0.34625763	1.377794	2.502036	0.0	0.0	0.0	0.2495178	0.23171616	0.68479747	1.6147513	1.1577108	1.4841413	0.98570824	0.11737919	1.8774452	0.9781812	1.6010634	0.19096208	1.4107409	1.4964347	1.9442137	1.9177488	2.086679	2.2420437	1.4318259	0.0	0.06925833	1.2199206	1.2278256	0.0	1.0226715	1.4672608	0.0	0.0	2.247204	0.0	0.0	2.0976233	0.0	0.052063107	0.71596235	0.46936953	1.792676	0.6360563	1.0165371	0.21398878	0.004131794	0.95212734	2.1295602	1.2005438	0.25460887	1.0371785	1.9238722	1.976265	0.94919777	0.6719153	0.1462239	0.83615935	1.5504917	1.2603073	0.90597266	0.88807344	0.78921014	1.3947256	0.8908381	0.74750423	1.2818255	0.31683183	0.56933165	0.0
TCGA-A1-A0SD	0.0	1.0280919	0.53043824	0.8774786	0.50570834	1.0225741	0.59967244	0.86994445	0.3839944	1.0461268	0.022827148	0.44839752	0.5740838	2.1324694	1.5178812	1.8758825	0.8148953	0.49289298	0.0	1.2545578	1.7298443	1.614253	0.67286736	0.0	0.0	0.0	0.83205664	2.051989	0.6174134	0.0	0.21183735	0.9504092	1.1193719	0.0	0.0	0.44009864	0.0	1.6753173	0.5975765	1.942572	1.0027528	0.8306874	1.8136572	0.22249126	1.2340672	0.66269845	1.1134058	0.0	0.21876097	1.058876	1.2617689	0.26037014	0.98606616	1.0475448	0.0	0.0	0.15488589	0.760672	0.30640286	0.7333187	0.0	0.8173047	0.8935612	0.12595046	0.8166841	0.4114548	0.0	2.2073371	0.9316039	0.14689445	1.6224928	0.0	1.8242235	0.0	0.0	1.6513033	0.30201483	0.74931264	1.4126701	1.3867893	0.0	0.85098577	0.61095405	1.1959813	0.5274186	1.09831	0.48678124	1.2308068	1.128061	0.38372958	1.7792792	1.4610648	0.58138263	0.5405477	0.29648772	0.2846892	0.8996065	0.55618906	1.2067074	0.082178116
TCGA-A1-A0SE	0.6076446	0.28502595	0.6313954	1.7868841	0.19639897	1.7142293	1.437043	1.1353809	1.5497599	1.4842286	0.64093983	0.75159466	0.2230928	2.977057	0.0	2.411048	1.2726386	1.021477	0.0	0.9940718	1.0289336	0.85310864	1.3390573	0.54129696	0.0	0.14760494	0.81776583	0.96968967	0.061981082	0.0	0.5257256	0.8816072	0.4117933	0.0	0.0	0.0	0.043522432	1.5759327	0.7510329	1.5682625	0.90921396	0.8855386	1.5808878	0.60851896	1.3501867	0.071967006	1.000074	0.50627637	0.2033782	0.5810828	0.8258871	0.4200523	0.09007186	1.2685096	1.2017605	0.0	0.7866519	1.1744816	0.8922033	0.6202493	0.0	1.8040869	1.0662423	0.0	1.176344	0.76038694	0.0	1.6028036	1.0953858	0.6913335	1.1369336	0.04662466	2.1710715	0.29399443	0.0	1.4112833	0.18371618	0.6649786	0.779031	0.98444104	0.0	0.8024626	1.0440351	0.8838029	1.7091506	0.60183966	0.12065899	1.4846021	1.2835696	0.44409227	1.7555407	1.2965341	1.2813587	0.31072763	0.19509184	0.87941086	1.0300014	0.4926455	0.74522036	0.0
TCGA-A1-A0SF	0.7339044	0.0	0.46840328	1.3811651	0.28265405	1.2608051	1.5255185	1.4095687	0.48535645	1.6270436	0.10368955	1.1597577	0.0	1.9400991	0.122870445	2.1630244	0.4093405	1.0365375	0.0	1.5197787	1.4413157	0.93747616	0.963647	1.1559339	0.0	0.0	1.1489053	1.5492799	0.87562656	0.0	0.3858738	0.6480851	0.0	0.331887	0.18234332	0.71321774	0.0	1.810402	0.87739223	1.4284589	0.9536485	1.056441	1.2181107	0.7436286	1.3216528	0.8218041	0.93992215	0.6455271	0.0	0.92389846	0.7284913	0.51514196	0.0	0.8940964	1.9851916	0.0	0.4292153	1.2049906	0.5915023	0.76189476	0.0	1.3970624	0.84262645	0.0	1.293152	1.0048593	0.24767432	1.5173032	0.9917536	0.9193299	0.46737546	0.5293509	2.1993337	0.63587904	0.0	1.2311485	0.9559815	0.9532862	0.79735506	0.9021869	0.49917975	1.4260598	0.87877226	0.9646375	1.360815	0.0	0.69645464	1.3223861	0.8164444	0.3765912	1.5984745	1.4770924	0.7161373	0.6769966	0.0	0.0	0.62928295	0.0	0.5269035	0.0
